,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,swimming_pool,state
6803,7000 Mons,Apartment,157484,1.0,67.0,,0.0,,,,,,67.0,,,,
6804,9230 Wetteren,Duplex,157500,1.0,75.0,USA installed,,,1.0,25.0,,,75.0,,,, Good
6805,5000 Namur,Apartment,157500,1.0,50.0,Hyper equipped,0.0,,1.0,8.0,,,50.0,,2.0,, Just renovated
6806,8550 Zwevegem,De Trialde,157500,,,,,,,,,,,,,,
6807,8580 Avelgem,House,157500,3.0,201.0,Installed,0.0,,,,1.0,42.0,201.0,121.0,2.0,, Good
6808,8570 Anzegem,Apartment,157500,1.0,60.0,,0.0,,,,,,60.0,,4.0,0.0,
6809,8570 Anzegem,Apartment,157500,1.0,58.0,,0.0,,,,,,58.0,,4.0,0.0,
6810,8570 Anzegem,Apartment,157500,1.0,58.0,,0.0,,,,,,58.0,,4.0,0.0,
6811,8570 Anzegem,Apartment,157500,1.0,58.0,,0.0,,,,,,58.0,,4.0,0.0,
6812,2600 Berchem,Apartment,157500,3.0,,Installed,,,,,,,,,3.0,,
6813,6000 Charleroi,House,157500,2.0,115.0,,0.0,,,,,,115.0,,3.0,, Good
6814,1420 Braine-lAlleud,Ground floor,157500,1.0,,Installed,0.0,,1.0,10.0,,,,,2.0,,
6815,7060 Soignies,Apartment,157500,2.0,86.0,,0.0,,,,,,86.0,,2.0,,
6816,4801 Stembert,House,157500,4.0,,Installed,,,,,,,,202.0,2.0,, Good
6817,8400 Oostende,Apartment,157500,1.0,52.0,Installed,0.0,,,,,,52.0,,2.0,, Good
6818,9100 Sint-Niklaas,Apartment,157500,1.0,50.0,,,,,,,,50.0,,,0.0, Just renovated
6819,8550 Zwevegem,Apartment,157500,1.0,68.0,,0.0,,1.0,7.0,,,68.0,,2.0,,
6820,4800 Verviers,Apartment block,157500,3.0,,Semi equipped,0.0,,1.0,7.0,1.0,114.0,,164.0,3.0,, To be done up
6821,3630 Maasmechelen,Apartment,157500,1.0,67.0,Installed,,,1.0,20.0,,,67.0,,,, As new
6822,3630 Maasmechelen,Apartment,157500,1.0,67.0,,0.0,,,,,,67.0,,,, As new
6823,7332 Saint-Ghislain Sirault,House,157500,2.0,,,,,,,,,,,3.0,, To restore
6824,8370 Blankenberge,Apartment,157900,1.0,,Installed,,,,,,,,,2.0,, Good
6825,8670 Koksijde,Apartment,157900,1.0,,,,,,,,,,,2.0,, As new
6826,8800 Roeselare,House,157900,1.0,,,,,,,,,,47.0,2.0,, To be done up
6827,7301 Hornu,House,158000,2.0,112.0,Installed,0.0,,,,1.0,130.0,112.0,90.0,3.0,, Just renovated
6828,8500 Kortrijk,Apartment,158000,2.0,75.0,Installed,0.0,,,,,,75.0,,2.0,, Good
6829,9500 Geraardsbergen,House,158000,2.0,130.0,Semi equipped,0.0,,,,,,130.0,170.0,,, To renovate
6830,4020 Liege,House,158000,4.0,149.0,Semi equipped,0.0,,1.0,33.0,,,149.0,94.0,2.0,, To renovate
6831,7390 Quaregnon,House,158000,3.0,,USA installed,0.0,,1.0,1.0,1.0,1.0,,190.0,2.0,0.0, Just renovated
